Year,Team,Yellow_Cards,Red_Cards
14-15,Arsenal,27.0,1.0
14-15,Aston Villa,28.0,4.0
14-15,Burnley,33.0,0.0
14-15,Chelsea,36.0,1.0
14-15,Crystal Palace,26.0,2.0
14-15,Everton,27.0,0.0
14-15,Hull,28.0,3.0
14-15,Leicester,20.0,2.0
14-15,Liverpool,29.0,2.0
14-15,Man City,35.0,1.0
14-15,Man United,31.0,1.0
14-15,Newcastle,33.0,1.0
14-15,QPR,36.0,1.0
14-15,Southampton,23.0,2.0
14-15,Stoke,33.0,0.0
14-15,Sunderland,45.0,1.0
14-15,Swansea,25.0,1.0
14-15,Tottenham,37.0,1.0
14-15,West Brom,34.0,1.0
14-15,West Ham,33.0,1.0
15-16,Arsenal,20.0,1.0
15-16,Aston Villa,35.0,1.0
15-16,Bournemouth,25.0,0.0
15-16,Chelsea,27.0,3.0
15-16,Crystal Palace,32.0,1.0
15-16,Everton,23.0,1.0
15-16,Leicester,17.0,1.0
15-16,Liverpool,23.0,1.0
15-16,Man City,25.0,0.0
15-16,Man United,29.0,0.0
15-16,Newcastle,37.0,2.0
15-16,Norwich,29.0,0.0
15-16,Southampton,27.0,3.0
15-16,Stoke,24.0,2.0
15-16,Sunderland,29.0,1.0
15-16,Swansea,35.0,1.0
15-16,Tottenham,30.0,0.0
15-16,Watford,38.0,2.0
15-16,West Brom,25.0,2.0
15-16,West Ham,20.0,3.0
16-17,Arsenal,34.0,3.0
16-17,Bournemouth,24.0,1.0
16-17,Burnley,35.0,0.0
16-17,Chelsea,32.0,0.0
16-17,Crystal Palace,32.0,0.0
16-17,Everton,36.0,1.0
16-17,Hull,32.0,2.0
16-17,Leicester,30.0,0.0
16-17,Liverpool,22.0,0.0
16-17,Man City,32.0,4.0
16-17,Man United,36.0,1.0
16-17,Middlesbrough,38.0,0.0
16-17,Southampton,23.0,2.0
16-17,Stoke,35.0,2.0
16-17,Sunderland,35.0,2.0
16-17,Swansea,30.0,0.0
16-17,Tottenham,27.0,0.0
16-17,Watford,50.0,2.0
16-17,West Brom,33.0,0.0
16-17,West Ham,47.0,1.0
17-18,Arsenal,25.0,1.0
17-18,Bournemouth,31.0,1.0
17-18,Brighton,37.0,1.0
17-18,Burnley,27.0,0.0
17-18,Chelsea,19.0,3.0
17-18,Crystal Palace,38.0,0.0
17-18,Everton,28.0,1.0
17-18,Huddersfield,26.0,2.0
17-18,Leicester,22.0,2.0
17-18,Liverpool,18.0,0.0
17-18,Man City,26.0,1.0
17-18,Man United,29.0,0.0
17-18,Newcastle,23.0,2.0
17-18,Southampton,29.0,0.0
17-18,Stoke,30.0,1.0
17-18,Swansea,24.0,0.0
17-18,Tottenham,20.0,0.0
17-18,Watford,41.0,2.0
17-18,West Brom,35.0,0.0
17-18,West Ham,34.0,0.0
18-19,Arsenal,40.0,0.0
18-19,Bournemouth,36.0,1.0
18-19,Brighton,30.0,2.0
18-19,Burnley,33.0,0.0
18-19,Cardiff,33.0,0.0
18-19,Chelsea,20.0,0.0
18-19,Crystal Palace,25.0,1.0
18-19,Everton,24.0,0.0
18-19,Fulham,34.0,1.0
18-19,Huddersfield,27.0,3.0
18-19,Leicester,33.0,2.0
18-19,Liverpool,13.0,1.0
18-19,Man City,17.0,0.0
18-19,Man United,32.0,1.0
18-19,Newcastle,25.0,1.0
18-19,Southampton,39.0,2.0
18-19,Tottenham,20.0,0.0
18-19,Watford,38.0,3.0
18-19,West Ham,28.0,0.0
18-19,Wolves,33.0,0.0
19-20,Arsenal,42.0,2.0
19-20,Aston Villa,34.0,0.0
19-20,Bournemouth,36.0,2.0
19-20,Brighton,27.0,1.0
19-20,Burnley,30.0,0.0
19-20,Chelsea,30.0,0.0
19-20,Crystal Palace,34.0,1.0
19-20,Everton,32.0,0.0
19-20,Leicester,19.0,1.0
19-20,Liverpool,13.0,1.0
19-20,Man City,27.0,1.0
19-20,Man United,29.0,0.0
19-20,Newcastle,33.0,1.0
19-20,Norwich,29.0,3.0
19-20,Sheffield United,30.0,1.0
19-20,Southampton,19.0,4.0
19-20,Tottenham,39.0,2.0
19-20,Watford,38.0,2.0
19-20,West Ham,34.0,0.0
19-20,Wolves,28.0,0.0
20-21,Arsenal,19.0,2.0
20-21,Aston Villa,29.0,3.0
20-21,Brighton,32.0,0.0
20-21,Burnley,24.0,0.0
20-21,Chelsea,21.0,2.0
20-21,Crystal Palace,27.0,0.0
20-21,Everton,25.0,1.0
20-21,Fulham,36.0,2.0
20-21,Leeds,33.0,0.0
20-21,Leicester,24.0,0.0
20-21,Liverpool,21.0,0.0
20-21,Man City,22.0,0.0
20-21,Man United,36.0,1.0
20-21,Newcastle,32.0,2.0
20-21,Sheffield United,32.0,1.0
20-21,Southampton,23.0,1.0
20-21,Tottenham,24.0,1.0
20-21,West Brom,26.0,2.0
20-21,West Ham,24.0,1.0
20-21,Wolves,31.0,0.0
21-22,Arsenal,31.0,1.0
21-22,Aston Villa,31.0,2.0
21-22,Brentford,29.0,2.0
21-22,Brighton,32.0,1.0
21-22,Burnley,34.0,0.0
21-22,Chelsea,32.0,0.0
21-22,Crystal Palace,34.0,0.0
21-22,Everton,41.0,5.0
21-22,Leeds,53.0,2.0
21-22,Leicester,22.0,0.0
21-22,Liverpool,23.0,0.0
21-22,Man City,16.0,1.0
21-22,Man United,31.0,1.0
21-22,Newcastle,34.0,1.0
21-22,Norwich,29.0,0.0
21-22,Southampton,31.0,1.0
21-22,Tottenham,34.0,0.0
21-22,Watford,33.0,1.0
21-22,West Ham,27.0,0.0
21-22,Wolves,31.0,1.0
22-23,Arsenal,17.0,0.0
22-23,Aston Villa,37.0,0.0
22-23,Bournemouth,30.0,0.0
22-23,Brentford,28.0,1.0
22-23,Brighton,32.0,0.0
22-23,Chelsea,38.0,1.0
22-23,Crystal Palace,33.0,2.0
22-23,Everton,37.0,1.0
22-23,Fulham,27.0,1.0
22-23,Leeds,38.0,2.0
22-23,Leicester,27.0,2.0
22-23,Liverpool,28.0,1.0
22-23,Man City,19.0,1.0
22-23,Man United,35.0,1.0
22-23,Newcastle,29.0,1.0
22-23,Nott'm Forest,49.0,0.0
22-23,Southampton,26.0,0.0
22-23,Tottenham,41.0,1.0
22-23,West Ham,19.0,0.0
22-23,Wolves,45.0,3.0
23-24,Arsenal,30.0,1.0
23-24,Aston Villa,47.0,1.0
23-24,Bournemouth,34.0,2.0
23-24,Brentford,33.0,1.0
23-24,Brighton,33.0,2.0
23-24,Burnley,26.0,1.0
23-24,Chelsea,44.0,1.0
23-24,Crystal Palace,36.0,1.0
23-24,Everton,32.0,0.0
23-24,Fulham,35.0,1.0
23-24,Liverpool,25.0,1.0
23-24,Luton,32.0,0.0
23-24,Man City,22.0,2.0
23-24,Man United,34.0,0.0
23-24,Newcastle,29.0,1.0
23-24,Nott'm Forest,26.0,2.0
23-24,Sheffield United,46.0,3.0
23-24,Tottenham,34.0,2.0
23-24,West Ham,36.0,1.0
23-24,Wolves,46.0,2.0
